,web-scraper-order,web-scraper-start-url,books,books-href,title,author,num_reviews,num_ratings,avg_rating,num_pages,original_publish_year,series,genres,places,awards,awards_won,mean_norm_ratings,min_max_norm_ratings
0,1618238480-3062,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,Stranger in a Strange Land,https://www.goodreads.com/book/show/350.Stranger_in_a_Strange_Land,Stranger in a Strange Land,Robert A. Heinlein,8309,282233,3.92,525,1991,False,Religion,['nan'],"Hugo Award for Best Novel (1962), Prometheus Hall of Fame Award (1987)",2.0,5.142743902439023,5.060975609756097
1,1618238519-3194,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"Blood Red Road (Dust Lands, #1)",https://www.goodreads.com/book/show/9917938-blood-red-road,Blood Red Road,Moira Young,5828,61335,3.9,459,2011,True,Young Adult,['nan'],"Locus Award Nominee for Best First Novel (2012), Sunburst Award Nominee for Young Adult (2012), Costa Book Award for Children's Book (2011), Teen Buckeye Book Award Nominee (2012), Milwaukee County Teen Book Award Nominee (2012)
                      ...more
                          Amelia Elizabeth Walden Award Nominee (2012), CYBILS Award for Fantasy & Science Fiction (Young Adult) (2011), Carnegie Medal Nominee (2012), Sheila A. Egoff Children’s Literature Prize (2012), FAB Award (2013)
...less",10.0,5.032987804878048,4.841463414634147
2,1618238581-3426,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"Across the Universe (Across the Universe, #1)",https://www.goodreads.com/book/show/8235178-across-the-universe,Across the Universe,Beth Revis,10354,116255,3.77,399,2011,True,Sci-Fi,"['Godspeed', 'United States of America', 'Earth', 'Outer Space']","Rhode Island Teen Book Award Nominee (2013), Lincoln Award Nominee (2014), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Goodreads Author (2011), Carnegie Medal Nominee (2012)",4.0,4.319573170731707,3.4146341463414647
3,1618238509-3155,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"Birthmarked (Birthmarked, #1)",https://www.goodreads.com/book/show/6909544-birthmarked,Birthmarked,Caragh M. O'Brien,3619,47979,3.87,361,2010,True,Sci-Fi,['nan'],"Georgia Peach Book Award Nominee (2011), Rhode Island Teen Book Award Nominee (2012), Beehive Book Award Nominee (2012), Arkansas Teen Book Award Nominee (2012), CYBILS Award Nominee (2010)",5.0,4.868353658536586,4.512195121951221
4,1618238594-3483,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,The Long Walk,https://www.goodreads.com/book/show/9014.The_Long_Walk,The Long Walk,Richard Bachman,7735,135469,4.08,370,1999,False,Novels,['nan'],,0.0,6.020792682926829,6.817073170731708
5,1618238517-3192,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,Cell,https://www.goodreads.com/book/show/10567.Cell,Cell,Stephen King,6225,199891,3.66,449,2006,False,Suspense,['nan'],,0.0,3.7159146341463423,2.207317073170735
6,1618238509-3157,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"Birthmarked (Birthmarked, #1)",https://www.goodreads.com/book/show/6909544-birthmarked,Birthmarked,Caragh M. O'Brien,3619,47979,3.87,361,2010,True,Sci-Fi,['nan'],"Georgia Peach Book Award Nominee (2011), Rhode Island Teen Book Award Nominee (2012), Beehive Book Award Nominee (2012), Arkansas Teen Book Award Nominee (2012), CYBILS Award Nominee (2010)",5.0,4.868353658536586,4.512195121951221
7,1618238668-3759,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,Watchmen,https://www.goodreads.com/book/show/472331.Watchmen,Watchmen,Alan Moore,14675,499362,4.37,416,2005,True,Graphic Novels Comics,"['New York City, New York,', '1985', 'United States']","Hugo Award for Other Forms (1988), Locus Award for Best Non-Fiction/Art (1988), Harvey Awards for Best Writer (for Alan Moore), Best Artist or Penciller (for Dave Gibbons), Best Continuing or Limited Series, Best Single Issue (""Watchmen #9""), Best Graphic Album, Best Colorist (for John Higgins) & Special Award for Excellence in Production  (1988), Prix du Festival d'Angoulême for Alph-art du meilleur album étranger (1989), Urhunden Prize for Foreign Album (1992)
                      ...more
                          Will Eisner Comic Industry Awards for Best Archival Collection/Project–Comic Books (in 2006 awards, for Absolute edition), Best Finite Series, Best Graphic Album, Best Writer (for Alan Moore), Best Writer/Artist (single or team) (for Alan Moore & Dave Gibbons) (1988), IGN Award for Best Collection (2005)
...less",8.0,7.612256097560975,10.0
8,1618238583-3435,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,The Day of the Triffids,https://www.goodreads.com/book/show/530965.The_Day_of_the_Triffids,The Day of the Triffids,John Wyndham,3650,93024,4.02,228,2003,True,Fiction,"['London, England', 'United Kingdom', 'United Kingdom']",International Fantasy Award Nominee for Fiction (1952),1.0,5.691524390243899,6.158536585365849
9,1618238637-3644,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,We,https://www.goodreads.com/book/show/76171.We,We,Yevgeny Zamyatin,4969,76635,3.91,226,1993,False,Fiction,['nan'],,0.0,5.0878658536585375,4.951219512195124
